"CubeId";"plimoinreg"
"PublishingDate";"2024-09-23 09:00"

"Date";"D0";"D1";"D2";"Value"
"1970";"EW";"GS";"A";"37.06742123"
"1970";"EW";"GS";"T";
"1970";"EW";"RZ";"A";"38.60457482"
"1970";"EW";"RZ";"T";
"1970";"EW";"RO";"A";"34.39801545"
"1970";"EW";"RO";"T";
"1970";"EW";"RI";"A";"30.87515615"
"1970";"EW";"RI";"T";
"1970";"EW";"RN";"A";"35.1241137"
"1970";"EW";"RN";"T";
"1970";"EW";"RB0";"A";"36.00872584"
"1970";"EW";"RB0";"T";
"1970";"EW";"RS";"A";"37.1650056"
"1970";"EW";"RS";"T";
"1970";"EW";"RG0";"A";"38.3636716"
"1970";"EW";"RG0";"T";
"1970";"EW";"RW";"A";"32.40326746"
"1970";"EW";"RW";"T";
"1970";"EH";"GS";"A";"36.47633889"
"1970";"EH";"GS";"T";
"1970";"EH";"RZ";"A";"36.35769905"
"1970";"EH";"RZ";"T";
"1970";"EH";"RO";"A";"28.84252347"
"1970";"EH";"RO";"T";
"1970";"EH";"RI";"A";"35.86174827"
"1970";"EH";"RI";"T";
"1970";"EH";"RN";"A";"36.36176567"
"1970";"EH";"RN";"T";
"1970";"EH";"RB0";"A";"34.90024393"
"1970";"EH";"RB0";"T";
"1970";"EH";"RS";"A";"39.21679131"
"1970";"EH";"RS";"T";
"1970";"EH";"RG0";"A";"37.01605741"
"1970";"EH";"RG0";"T";
"1970";"EH";"RW";"A";"25.82954611"
"1970";"EH";"RW";"T";
"1970";"MW";"GS";"A";"34.66497738"
"1970";"MW";"RZ";"A";"34.16982296"
"1970";"MW";"RO";"A";"32.01150407"
"1970";"MW";"RI";"A";"29.32439236"
"1970";"MW";"RN";"A";"35.70663167"
"1970";"MW";"RB0";"A";"34.79706659"
"1970";"MW";"RS";"A";"40.68011101"
"1970";"MW";"RG0";"A";"40.15607969"
"1970";"MW";"RW";"A";"30.92971536"
"1970";"BF";"GS";"A";"48.58816354"
"1970";"BF";"RZ";"A";"48.43477918"
"1970";"BF";"RB1";"A";"50.36568495"
"1970";"BF";"RG1";"A";"48.25529261"
"1970";"BF";"US";"A";"47.80124736"
"1970";"GF";"GS";"A";"46.12073999"
"1970";"GF";"RZ";"A";"44.5805032"
"1970";"GF";"RB1";"A";"50.64905373"
"1970";"GF";"RG1";"A";"42.38195297"
"1970";"GF";"US";"A";"44.68888846"
"1971";"EW";"GS";"A";"40.04192508"
"1971";"EW";"GS";"T";
"1971";"EW";"RZ";"A";"46.27660489"
"1971";"EW";"RZ";"T";
"1971";"EW";"RO";"A";"32.00012065"
"1971";"EW";"RO";"T";
"1971";"EW";"RI";"A";"33.06686105"
"1971";"EW";"RI";"T";
"1971";"EW";"RN";"A";"34.44728718"
"1971";"EW";"RN";"T";
"1971";"EW";"RB0";"A";"39.8940043"
"1971";"EW";"RB0";"T";
"1971";"EW";"RS";"A";"38.92313724"
"1971";"EW";"RS";"T";
"1971";"EW";"RG0";"A";"42.94600056"
"1971";"EW";"RG0";"T";
"1971";"EW";"RW";"A";"34.72481692"
"1971";"EW";"RW";"T";
"1971";"EH";"GS";"A";"41.77123341"
"1971";"EH";"GS";"T";
"1971";"EH";"RZ";"A";"44.53064448"
"1971";"EH";"RZ";"T";
"1971";"EH";"RO";"A";"34.32762957"
"1971";"EH";"RO";"T";
"1971";"EH";"RI";"A";"44.08171231"
"1971";"EH";"RI";"T";
"1971";"EH";"RN";"A";"39.96118896"
"1971";"EH";"RN";"T";
"1971";"EH";"RB0";"A";"38.18378641"
"1971";"EH";"RB0";"T";
"1971";"EH";"RS";"A";"38.59990058"
"1971";"EH";"RS";"T";
"1971";"EH";"RG0";"A";"39.63020344"
"1971";"EH";"RG0";"T";
"1971";"EH";"RW";"A";"39.85988569"
"1971";"EH";"RW";"T";
"1971";"MW";"GS";"A";"40.16484998"
"1971";"MW";"RZ";"A";"41.62337066"
"1971";"MW";"RO";"A";"36.00190313"
"1971";"MW";"RI";"A";"34.9545638"
"1971";"MW";"RN";"A";"39.68235147"
"1971";"MW";"RB0";"A";"39.35781457"
"1971";"MW";"RS";"A";"48.22345275"
"1971";"MW";"RG0";"A";"48.3367137"
"1971";"MW";"RW";"A";"34.83401806"
"1971";"BF";"GS";"A";"52.45452225"
"1971";"BF";"RZ";"A";"59.33103249"
"1971";"BF";"RB1";"A";"52.87743609"
"1971";"BF";"RG1";"A";"47.60247619"
"1971";"BF";"US";"A";"44.56837294"
"1971";"GF";"GS";"A";"54.26601008"
"1971";"GF";"RZ";"A";"45.3683056"
"1971";"GF";"RB1";"A";"68.76848609"
"1971";"GF";"RG1";"A";"72.32329352"
"1971";"GF";"US";"A";"45.53766525"
"1972";"EW";"GS";"A";"45.19227351"
"1972";"EW";"GS";"T";
"1972";"EW";"RZ";"A";"50.75437421"
"1972";"EW";"RZ";"T";
"1972";"EW";"RO";"A";"42.51024244"
"1972";"EW";"RO";"T";
"1972";"EW";"RI";"A";"37.01325209"
"1972";"EW";"RI";"T";
"1972";"EW";"RN";"A";"39.67122332"
"1972";"EW";"RN";"T";
"1972";"EW";"RB0";"A";"44.28116061"
"1972";"EW";"RB0";"T";
"1972";"EW";"RS";"A";"46.45304239"
"1972";"EW";"RS";"T";
"1972";"EW";"RG0";"A";"46.47745669"
"1972";"EW";"RG0";"T";
"1972";"EW";"RW";"A";"41.08826373"
"1972";"EW";"RW";"T";
"1972";"EH";"GS";"A";"50.33160508"
"1972";"EH";"GS";"T";
"1972";"EH";"RZ";"A";"56.98708572"
"1972";"EH";"RZ";"T";
"1972";"EH";"RO";"A";"40.42236104"
"1972";"EH";"RO";"T";
"1972";"EH";"RI";"A";"46.16826417"
"1972";"EH";"RI";"T";
"1972";"EH";"RN";"A";"48.39644979"
"1972";"EH";"RN";"T";
"1972";"EH";"RB0";"A";"49.12563825"
"1972";"EH";"RB0";"T";
"1972";"EH";"RS";"A";"43.78770028"
"1972";"EH";"RS";"T";
"1972";"EH";"RG0";"A";"45.84001807"
"1972";"EH";"RG0";"T";
"1972";"EH";"RW";"A";"35.20725456"
"1972";"EH";"RW";"T";
"1972";"MW";"GS";"A";"45.60683053"
"1972";"MW";"RZ";"A";"47.15082793"
"1972";"MW";"RO";"A";"40.34686006"
"1972";"MW";"RI";"A";"41.04911119"
"1972";"MW";"RN";"A";"46.08483513"
"1972";"MW";"RB0";"A";"43.56208385"
"1972";"MW";"RS";"A";"51.12144394"
"1972";"MW";"RG0";"A";"54.36476657"
"1972";"MW";"RW";"A";"38.0626341"
"1972";"BF";"GS";"A";"59.94611238"
"1972";"BF";"RZ";"A";"62.3962999"
"1972";"BF";"RB1";"A";"63.48715452"
"1972";"BF";"RG1";"A";"57.84159016"
"1972";"BF";"US";"A";"53.51499124"
"1972";"GF";"GS";"A";"56.38171"
"1972";"GF";"RZ";"A";"58.76339919"
"1972";"GF";"RB1";"A";"68.04236045"
"1972";"GF";"RG1";"A";"35.29101583"
"1972";"GF";"US";"A";"56.64846736"
"1973";"EW";"GS";"A";"51.02109833"
"1973";"EW";"GS";"T";
"1973";"EW";"RZ";"A";"55.095752"
"1973";"EW";"RZ";"T";
"1973";"EW";"RO";"A";"49.87538322"
"1973";"EW";"RO";"T";
"1973";"EW";"RI";"A";"45.41042914"
"1973";"EW";"RI";"T";
"1973";"EW";"RN";"A";"46.60852001"
"1973";"EW";"RN";"T";
"1973";"EW";"RB0";"A";"52.29521383"
"1973";"EW";"RB0";"T";
"1973";"EW";"RS";"A";"48.7096583"
"1973";"EW";"RS";"T";
"1973";"EW";"RG0";"A";"48.3754691"
"1973";"EW";"RG0";"T";
"1973";"EW";"RW";"A";"51.80631852"
"1973";"EW";"RW";"T";
"1973";"EH";"GS";"A";"59.44626518"
"1973";"EH";"GS";"T";
"1973";"EH";"RZ";"A";"64.52035804"
"1973";"EH";"RZ";"T";
"1973";"EH";"RO";"A";"50.97151953"
"1973";"EH";"RO";"T";
"1973";"EH";"RI";"A";"56.47881605"
"1973";"EH";"RI";"T";
"1973";"EH";"RN";"A";"58.57577239"
"1973";"EH";"RN";"T";
"1973";"EH";"RB0";"A";"57.31941558"
"1973";"EH";"RB0";"T";
"1973";"EH";"RS";"A";"60.83928656"
"1973";"EH";"RS";"T";
"1973";"EH";"RG0";"A";"51.75232941"
"1973";"EH";"RG0";"T";
"1973";"EH";"RW";"A";"45.90282991"
"1973";"EH";"RW";"T";
"1973";"MW";"GS";"A";"50.33418183"
"1973";"MW";"RZ";"A";"54.27345441"
"1973";"MW";"RO";"A";"46.08029264"
"1973";"MW";"RI";"A";"48.30730853"
"1973";"MW";"RN";"A";"49.7238038"
"1973";"MW";"RB0";"A";"47.88977517"
"1973";"MW";"RS";"A";"51.17101929"
"1973";"MW";"RG0";"A";"55.76567169"
"1973";"MW";"RW";"A";"41.84959035"
"1973";"BF";"GS";"A";"64.89692533"
"1973";"BF";"RZ";"A";"66.8648076"
"1973";"BF";"RB1";"A";"76.18217757"
"1973";"BF";"RG1";"A";"61.93526833"
"1973";"BF";"US";"A";"55.82264775"
"1973";"GF";"GS";"A";"66.65969147"
"1973";"GF";"RZ";"A";"61.21660133"
"1973";"GF";"RB1";"A";"91.39327952"
"1973";"GF";"RG1";"A";"51.67070122"
"1973";"GF";"US";"A";"65.6511796"
"1974";"EW";"GS";"A";"50.41962955"
"1974";"EW";"GS";"T";
"1974";"EW";"RZ";"A";"52.1146143"
"1974";"EW";"RZ";"T";
"1974";"EW";"RO";"A";"49.82597404"
"1974";"EW";"RO";"T";
"1974";"EW";"RI";"A";"43.36724028"
"1974";"EW";"RI";"T";
"1974";"EW";"RN";"A";"49.69769187"
"1974";"EW";"RN";"T";
"1974";"EW";"RB0";"A";"50.6745917"
"1974";"EW";"RB0";"T";
"1974";"EW";"RS";"A";"52.0336949"
"1974";"EW";"RS";"T";
"1974";"EW";"RG0";"A";"45.99532812"
"1974";"EW";"RG0";"T";
"1974";"EW";"RW";"A";"48.678683"
"1974";"EW";"RW";"T";
"1974";"EH";"GS";"A";"59.58861588"
"1974";"EH";"GS";"T";
"1974";"EH";"RZ";"A";"61.84428372"
"1974";"EH";"RZ";"T";
"1974";"EH";"RO";"A";"51.44651433"
"1974";"EH";"RO";"T";
"1974";"EH";"RI";"A";"51.58057272"
"1974";"EH";"RI";"T";
"1974";"EH";"RN";"A";"58.86695949"
"1974";"EH";"RN";"T";
"1974";"EH";"RB0";"A";"60.1424669"
"1974";"EH";"RB0";"T";
"1974";"EH";"RS";"A";"60.78508757"
"1974";"EH";"RS";"T";
"1974";"EH";"RG0";"A";"56.44467198"
"1974";"EH";"RG0";"T";
"1974";"EH";"RW";"A";"51.53081455"
"1974";"EH";"RW";"T";
"1974";"MW";"GS";"A";"53.3904718"
"1974";"MW";"RZ";"A";"60.94094815"
"1974";"MW";"RO";"A";"50.27615904"
"1974";"MW";"RI";"A";"50.43841311"
"1974";"MW";"RN";"A";"52.58414953"
"1974";"MW";"RB0";"A";"51.12129051"
"1974";"MW";"RS";"A";"49.53323319"
"1974";"MW";"RG0";"A";"54.20498183"
"1974";"MW";"RW";"A";"45.31397109"
"1974";"BF";"GS";"A";"65.48228344"
"1974";"BF";"RZ";"A";"67.02192551"
"1974";"BF";"RB1";"A";"70.2022922"
"1974";"BF";"RG1";"A";"64.93548746"
"1974";"BF";"US";"A";"57.51251449"
"1974";"GF";"GS";"A";"63.00792903"
"1974";"GF";"RZ";"A";"66.33163188"
"1974";"GF";"RB1";"A";"68.72128628"
"1974";"GF";"RG1";"A";"47.5062982"
"1974";"GF";"US";"A";"59.12814201"
"1975";"EW";"GS";"A";"49.3387214"
"1975";"EW";"GS";"T";
"1975";"EW";"RZ";"A";"52.38040293"
"1975";"EW";"RZ";"T";
"1975";"EW";"RO";"A";"46.45391698"
"1975";"EW";"RO";"T";
"1975";"EW";"RI";"A";"41.12756803"
"1975";"EW";"RI";"T";
"1975";"EW";"RN";"A";"46.77685726"
"1975";"EW";"RN";"T";
"1975";"EW";"RB0";"A";"47.29798616"
"1975";"EW";"RB0";"T";
"1975";"EW";"RS";"A";"53.52723351"
"1975";"EW";"RS";"T";
"1975";"EW";"RG0";"A";"48.63034245"
"1975";"EW";"RG0";"T";
"1975";"EW";"RW";"A";"53.27343287"
"1975";"EW";"RW";"T";
"1975";"EH";"GS";"A";"54.96815258"
"1975";"EH";"GS";"T";
"1975";"EH";"RZ";"A";"57.16799334"
"1975";"EH";"RZ";"T";
"1975";"EH";"RO";"A";"47.86314003"
"1975";"EH";"RO";"T";
"1975";"EH";"RI";"A";"45.65778718"
"1975";"EH";"RI";"T";
"1975";"EH";"RN";"A";"53.58803996"
"1975";"EH";"RN";"T";
"1975";"EH";"RB0";"A";"54.31560789"
"1975";"EH";"RB0";"T";
"1975";"EH";"RS";"A";"66.38000772"
"1975";"EH";"RS";"T";
"1975";"EH";"RG0";"A";"52.69148449"
"1975";"EH";"RG0";"T";
"1975";"EH";"RW";"A";"54.51267257"
"1975";"EH";"RW";"T";
"1975";"MW";"GS";"A";"52.06494288"
"1975";"MW";"RZ";"A";"58.89777157"
"1975";"MW";"RO";"A";"48.99905214"
"1975";"MW";"RI";"A";"48.96377451"
