ArticleId,Category
1018,sport
1319,tech
1138,business
459,entertainment
1020,politics
51,sport
2025,tech
1479,business
27,entertainment
397,politics
1644,sport
263,tech
765,business
2134,entertainment
297,politics
1712,sport
1631,tech
942,business
1549,entertainment
516,politics
2215,sport
531,tech
1541,business
1340,entertainment
56,politics
2138,sport
338,tech
133,business
215,entertainment
521,politics
1777,sport
185,tech
2105,business
1556,entertainment
659,politics
1837,sport
59,tech
383,business
1581,entertainment
2167,politics
1593,sport
1849,tech
1691,business
2033,entertainment
2092,politics
849,sport
1780,tech
1747,business
1509,entertainment
1305,politics
2055,sport
2139,tech
57,business
1496,entertainment
671,politics
1193,sport
2104,tech
872,business
606,entertainment
1502,politics
244,sport
381,tech
1944,business
725,entertainment
369,politics
211,sport
1861,tech
1044,business
976,entertainment
1673,politics
442,sport
144,tech
1954,business
48,entertainment
608,politics
2165,sport
913,tech
1580,business
1061,entertainment
529,politics
2137,sport
1284,tech
2040,business
349,entertainment
1385,politics
1307,sport
807,tech
333,business
786,entertainment
1775,politics
558,sport
592,tech
2172,business
1735,entertainment
1188,politics
511,sport
157,tech
646,business
8,entertainment
821,politics
1001,sport
309,tech
1732,business
1291,entertainment
2136,politics
999,sport
1258,tech
721,business
1922,entertainment
954,politics
847,sport
846,tech
313,business
1997,entertainment
322,politics
1221,sport
129,tech
981,business
330,entertainment
1172,politics
2123,sport
1165,tech
1592,business
2094,entertainment
841,politics
1224,sport
72,tech
1176,business
1285,entertainment
1671,politics
67,sport
952,tech
884,business
2011,entertainment
1979,politics
519,sport
1132,tech
1782,business
112,entertainment
1996,politics
683,sport
1447,tech
472,business
562,entertainment
1476,politics
1339,sport
1972,tech
875,business
1067,entertainment
1442,politics
708,sport
515,tech
118,business
1513,entertainment
1227,politics
1196,sport
635,tech
1669,business
1823,entertainment
483,politics
1477,sport
509,tech
667,business
127,entertainment
1316,politics
1983,sport
598,tech
1654,business
1232,entertainment
703,politics
2051,sport
451,tech
1924,business
852,entertainment
1889,politics
1695,sport
417,tech
2125,business
2087,entertainment
1274,politics
579,sport
398,tech
1898,business
87,entertainment
2024,politics
1927,sport
1019,tech
1892,business
357,entertainment
1161,politics
52,sport
1798,tech
2028,business
58,entertainment
258,politics
638,sport
541,tech
2190,business
1936,entertainment
1293,politics
2181,sport
1329,tech
146,business
89,entertainment
1627,politics
1123,sport
1233,tech
580,business
591,entertainment
1933,politics
911,sport
971,tech
1154,business
1622,entertainment
539,politics
1131,sport
1839,tech
545,business
1910,entertainment
799,politics
1016,sport
1460,tech
1286,business
296,entertainment
1345,politics
1568,sport
502,tech
1530,business
81,entertainment
2162,politics
1519,sport
1634,tech
1586,business
469,entertainment
382,politics
353,sport
1666,tech
1457,business
2182,entertainment
1591,politics
1643,sport
1822,tech
742,business
1956,entertainment
1829,politics
1675,sport
376,tech
1626,business
168,entertainment
321,politics
715,sport
1278,tech
653,business
1206,entertainment
411,politics
931,sport
1576,tech
1207,business
1729,entertainment
851,politics
994,sport
223,tech
763,business
977,entertainment
1094,politics
582,sport
1845,tech
965,business
1461,entertainment
945,politics
746,sport
1768,tech
1242,business
259,entertainment
866,politics
1288,sport
915,tech
337,business
1842,entertainment
975,politics
1890,sport
1694,tech
367,business
1270,entertainment
1679,politics
717,sport
838,tech
1857,business
798,entertainment
1915,politics
1051,sport
99,tech
810,business
1662,entertainment
1521,politics
1693,sport
347,tech
60,business
1958,entertainment
723,politics
402,sport
662,tech
3,business
84,entertainment
1551,politics
1684,sport
806,tech
1721,business
446,entertainment
326,politics
2211,sport
2037,tech
1158,business
498,entertainment
2122,politics
1905,sport
564,tech
939,business
1,entertainment
567,politics
