nacl,sugar,chewiness
130,176.5,2.1381
130,176.5,3.6588
130,176.5,4.7656
130,176.5,1.1835
130,176.5,3.7518
130,176.5,1.8404
130,176.5,2.2266
130,176.5,4.1262
130,176.5,4.9845
130,176.5,5.5386
130,176.5,4.3668
130,176.5,4.4714
130,176.5,2.499
130,176.5,2.8283
130,176.5,3.0703
140,192.6,2.2918
140,192.6,3.9924
140,192.6,3.0021
140,192.6,3.4332
140,192.6,3.6314
140,192.6,1.6526
140,192.6,3.7707
140,192.6,3.3163
140,192.6,3.6039
140,192.6,4.4036
140,192.6,3.456
140,192.6,3.738
140,192.6,4.296
140,192.6,3.0917
140,192.6,3.4703
150,209.3,2.7466
150,209.3,1.8552
150,209.3,2.6526
150,209.3,3.1171
150,209.3,2.5941
150,209.3,3.4251
150,209.3,3.964
150,209.3,3.3389
150,209.3,0.6925
150,209.3,3.3025
150,209.3,2.7557
150,209.3,3.9685
150,209.3,3.2016
150,209.3,3.9999
150,209.3,3.0857
160,225,1.6433
160,225,2.0722
160,225,2.1001
160,225,4.3682
160,225,2.3977
160,225,0.995
160,225,4.4895
160,225,0.8833
160,225,2.6824
160,225,3.4452
160,225,3.7186
160,225,3.1528
160,225,1.3621
160,225,3.1512
160,225,4.1883
170,242.1,2.2401
170,242.1,2.0816
170,242.1,1.4054
170,242.1,1.1273
170,242.1,2.0976
170,242.1,1.4141
170,242.1,2.1817
170,242.1,2.2254
170,242.1,3.2145
170,242.1,3.3571
170,242.1,1.2011
170,242.1,1.2226
170,242.1,2.3168
170,242.1,1.4921
170,242.1,2.5725
180,258.5,1.2349
180,258.5,1.69
180,258.5,1.9316
180,258.5,2.6551
180,258.5,1.9119
180,258.5,2.112
180,258.5,2.3469
180,258.5,2.04
180,258.5,1.5142
180,258.5,1.5389
180,258.5,1.7064
180,258.5,1.2969
180,258.5,1.0169
180,258.5,0.4185
180,258.5,2.236
