STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00094075,"BOULDER 14 W, CO US",2017-07-01,0.0,68.0,31.0
USW00094075,"BOULDER 14 W, CO US",2017-07-02,0.0,73.0,35.0
USW00094075,"BOULDER 14 W, CO US",2017-07-03,0.0,68.0,46.0
USW00094075,"BOULDER 14 W, CO US",2017-07-04,0.05,68.0,43.0
USW00094075,"BOULDER 14 W, CO US",2017-07-05,0.01,73.0,40.0
USW00094075,"BOULDER 14 W, CO US",2017-07-06,0.0,76.0,48.0
USW00094075,"BOULDER 14 W, CO US",2017-07-07,0.02,74.0,43.0
USW00094075,"BOULDER 14 W, CO US",2017-07-08,0.0,65.0,44.0
USW00094075,"BOULDER 14 W, CO US",2017-07-09,0.01,73.0,39.0
USW00094075,"BOULDER 14 W, CO US",2017-07-10,0.01,75.0,44.0
USW00094075,"BOULDER 14 W, CO US",2017-07-11,0.01,71.0,52.0
USW00094075,"BOULDER 14 W, CO US",2017-07-12,0.1,54.0,43.0
USW00094075,"BOULDER 14 W, CO US",2017-07-13,0.0,67.0,41.0
USW00094075,"BOULDER 14 W, CO US",2017-07-14,0.0,67.0,39.0
USW00094075,"BOULDER 14 W, CO US",2017-07-15,0.0,65.0,40.0
USW00094075,"BOULDER 14 W, CO US",2017-07-16,0.05,68.0,38.0
USW00094075,"BOULDER 14 W, CO US",2017-07-17,0.01,72.0,47.0
USW00094075,"BOULDER 14 W, CO US",2017-07-18,0.0,71.0,47.0
USW00094075,"BOULDER 14 W, CO US",2017-07-19,0.03,80.0,45.0
USW00094075,"BOULDER 14 W, CO US",2017-07-20,0.0,74.0,46.0
USW00094075,"BOULDER 14 W, CO US",2017-07-21,0.16,74.0,48.0
USW00094075,"BOULDER 14 W, CO US",2017-07-22,0.11,66.0,46.0
USW00094075,"BOULDER 14 W, CO US",2017-07-23,0.56,69.0,43.0
USW00094075,"BOULDER 14 W, CO US",2017-07-24,0.0,72.0,45.0
USW00094075,"BOULDER 14 W, CO US",2017-07-25,0.24,69.0,47.0
USW00094075,"BOULDER 14 W, CO US",2017-07-26,0.28,62.0,44.0
USW00094075,"BOULDER 14 W, CO US",2017-07-27,0.02,65.0,44.0
