Price	Number_of_Hours_Late	Number_Cancelled_per_Day_per_500	Bag_Delivery_Time	Number_Lost_Bags
1998.41	0.419	53	25.3954	2
1320.65	0.37	63	6.8734	3
1914.15	0.433	28	7.8688	3
1449.18	0.351	48	11.4976	2
1217.93	0.36	38	25.0174	1
1507.68	0.439	58	21.0358	2
1511.73	0.408	53	23.4298	3
1737.06	0.415	43	10.2754	7
1965.15	0.454	53	32.4388	3
1681.01	0.417	43	7.012	4
1984.17	0.372	63	6.76	3
1543.41	0.413	78	49.1338	1
1496.81	0.398	43	14.5342	4
2463.36	0.453	43	6.76	1
2098.29	0.41	53	9.5824	0
1686.52	0.416	58	7.9066	2
1597.91	0.425	38	10.8046	4
1224.65	0.462	63	19.7632	0
1629.16	0.449	63	15.8446	2
1787.17	0.449	58	6.76	1
1873.38	0.418	58	18.6796	2
1330.49	0.435	48	17.3944	1
1786.58	0.382	53	9.532	2
1533.59	0.402	53	14.5594	5
1659.22	0.391	53	27.4114	1
1666.54	0.46	38	13.123	1
1463.5	0.409	43	7.0372	1
1541.73	0.412	43	24.589	1
1902.17	0.433	38	17.9362	6
1676.35	0.467	43	20.3554	5
1917.83	0.42	53	7.7932	3
1988.74	0.384	48	18.8434	1
1857.12	0.37	53	31.6576	3
2003.94	0.421	53	7.831	3
2252.25	0.414	33	24.5134	2
1689.66	0.43	43	15.4792	0
1906	0.393	18	11.5858	1
1689.79	0.404	48	11.926	3
1257.94	0.428	63	9.154	1
1553.72	0.41	48	14.1688	3
2028.7	0.354	48	6.76	2
1635.23	0.485	43	21.7036	2
1479.54	0.361	28	13.0474	0
1239.11	0.475	83	39.8728	2
2089.49	0.423	68	25.0048	3
1312.13	0.445	38	6.76	0
1698.59	0.394	63	19.0576	4
1985.66	0.376	58	9.5572	6
1386.39	0.412	73	35.0092	1
1685.5	0.357	63	17.8354	1
1551.63	0.376	38	15.5044	
1314.54	0.458	38	15.4288	
1757.95	0.487	33	6.76	
1388.42	0.404	48	7.9948	
1614.8	0.433	18	12.7072	
2291.62	0.425	48	23.5936	
1731.89	0.339	43	6.76	
1881.61	0.442	68	21.7414	
1662.95	0.38	113	12.6064	
1498.28	0.375	68	6.9364	
1601.23	0.439	63	7.8814	
1221	0.383	53	8.5996	
1751.22	0.459	53	30.8512	
1593.18	0.398	48	6.76	
1394.82	0.459	33	10.6786	
1738.39	0.378	38	12.43	
1398.19	0.394	68	9.091	
2254.53	0.373	38	9.658	
1572.89	0.406	58	13.7908	
1913.28	0.413	48	13.2364	
1717.45	0.401	48	6.76	
1948.65	0.375	48	6.76	
1229.49	0.413	53	29.3266	
1157.76	0.428	73	26.1892	
1600.1	0.372	78	29.2888	
1688.88	0.38	63		
1463.15	0.475	48		
1764.85	0.417	43		
1421.54	0.38	63		
1763.35	0.463	48		
2057.14	0.456	43		
1460.51	0.43	28		
1944.47	0.412	63		
1440.45	0.388	43		
1998.18	0.363	53		
1902.77	0.341	48		
1606.77	0.435	63		
1604.74	0.404	38		
1284.5	0.416	53		
2027.62	0.409	38		
1653.68	0.338	33		
1244.92	0.369	63		
1466.08	0.327	28		
1377.24	0.411	23		
2075.75	0.437	48		
1688.97	0.386	48		
1510	0.359	38		
1491.49	0.454	53		
1510.68	0.409	53		
1940.22	0.358	43		
1249.45	0.404	43		
1798.85	0.418	63		
1521.68	0.408	88		
2144.89	0.396	33		
1213.22	0.397	78		
2096.94	0.374	48		
1884.55	0.409	53		
1654.86	0.395	28		
1657.24	0.454	63		
1585.82	0.449	43		
2064.99	0.388	43		
1715.9	0.453	58		
1904.46	0.399	73		
1500.6	0.433	43		
1958.4	0.435	48		
1878.94	0.424	38		
1839.86	0.45	38		
1227.64	0.377	38		
2042.12	0.429	63		
1710.98	0.427	58		
1480.62	0.346	73		
1437.92	0.432	68		
1873.71	0.385	33		
2033.83	0.476	78		
1161.23	0.407	58		
1752.24	0.379	63		
1520.89	0.403	73		
1126.18	0.363	43		
1728.96	0.417	63		
2033.54	0.465	33		
1514.36	0.439	63		
2035.1	0.389	68		
1135.8	0.394	38		
1844.82	0.38	48		
1225.62	0.501	43		
1698.54	0.484	48		
1462.8	0.415	48		
1649.67	0.445	58		
1260.08	0.379	63		
1441.55	0.447	38		
1718.09	0.395	38		
1045.29	0.382	53		
1889.43	0.423	48		
1434.18	0.421	78		
1667.24	0.419	68		
1736.65	0.452	43		
1204.74	0.468	73		
1813.2	0.393	28		
1722.28	0.388	53		
1319.62	0.453	53		
1817.22	0.418	53		
1599.72	0.355	38		
1446.22	0.411	58		
2105.41	0.36	38		
1659.54	0.389	73		
1766.49	0.435	53		
1303.72	0.459	63		
1109	0.476	53		
1079.32	0.395	68		
1506.94	0.386	48		
1968.65	0.415	63		
2113.78	0.468	53		
1758.99	0.391	38		
1324.9	0.396	48		
2215.03	0.457	58		
1900.68	0.442	53		
1549.95	0.48	58		
1691.92	0.452	53		
1540.09	0.414	48		
1658.63	0.484	68		
1288.25	0.39	63		
2119.67	0.376	53		
1845.25	0.451	68		
1831.57	0.473	53		
1437.29	0.398	53		
1501.26	0.404	43		
1794.2	0.362	43		
1770.41	0.367	43		
1868.94	0.371	48		
2052.98	0.436	43		
1204.41	0.339	28		
1970.18	0.538	63		
1760.65	0.423	43		
1083.67	0.392	63		
1567.9	0.434	38		
1442.83	0.336	33		
1301.9	0.448	28		
1799.34	0.404	58		
1146.43	0.375	63		
1705.27	0.442	53		
1787.97	0.406	43		
1732.77	0.378	73		
1847.61	0.347	48		
1445.55	0.43	43		
1744.22	0.414	63		
1661.19	0.455	63		
1964.38	0.377	63		
2021.89	0.472	63		
1505.94	0.459	33		
1903.09	0.349	43		
1626.11	0.389	38		
1416.28	0.394	43		
1681.12	0.471	38		
2072.79	0.394	68		
1567.42	0.386	43		
1685.49	0.424	53		
1662.1	0.385	63		
1265.01	0.323	38		
1860.45	0.447	63		
1802.22	0.406	63		
1463.81	0.429	33		
1557.26	0.398	33		
2164.8	0.396	23		
1701.82	0.457	33		
1427.22	0.479	63		
2347.54	0.384	58		
1973.1	0.351	58		
1503.01	0.383	58		
1598.22	0.405	38		
1819.49	0.389	38		
1028.18	0.441	43		
1987.12	0.435	68		
1807.45	0.47	48		
1384.82	0.387	43		
1790.83	0.421	38		
1965.66	0.454	33		
1579.71	0.484	58		
1826.08	0.355	63		
1633.67	0.426	43		
1765.78	0.385	38		
1428.54	0.381	43		
1729.74	0.475	48		
1785.79	0.382	63		
1104.88	0.502	53		
948.82	0.464	48		
2054.46	0.398	43		
1401.41	0.415	48		
1831.01	0.438	48		
1931	0.415	43		
2007.98	0.417	53		
1588.63	0.39	48		
1697.74	0.435	48		
1758.99	0.379	48		
1235.18	0.434	48		
1731.42	0.435	58		
1326.05	0.474	38		
1412.26	0.406	63		
1420.4	0.45	33		
1786.49	0.396	48		
1204.41	0.471	63		
1613.4	0.433	53		
1506.92	0.412	58		
1863.58	0.411	63		
1257.75	0.38	53		
1595.38	0.47	78		
1517.05	0.396	53		
1596.42	0.464	53		
1675.32	0.428	63		
1596.95	0.425	28		
2005.82	0.381	53		
1876.92	0.433	78		
2014.54	0.39	43		
1234.75	0.396	63		
1650.06	0.378	73		
1268.02	0.42	48		
1396.03	0.45	53		
1350.1	0.379	83		
1853.62	0.361	68		
2203.08	0.396	18		
1591.71	0.428	28		
1715.95	0.385	53		
1184.98	0.408	58		
1556.94	0.413	63		
1503.33	0.433	43		
1739.58	0.435	38		
1722.85	0.441	68		
1818.17	0.383	63		
2092.36	0.413	38		
1411.66	0.388	43		
2073.07	0.38	43		
976.19	0.33	43		
2136.16	0.432	63		
1545.89	0.393	88		
1521.98	0.46	48		
2147.38	0.418	48		
1828.77	0.482	38		
1963.58	0.382	33		
1574.46	0.417	28		
1429.68	0.474	43		
