mold	weight
1	146
1	155
1	121
1	135
1	139
1	129
1	120
1	131
1	126
1	129
1	148
1	124
1	122
1	162
1	131
1	155
1	133
1	148
1	128
1	132
1	143
1	126
1	128
1	152
1	122
1	117
1	158
1	134
1	109
1	165
1	129
1	124
1	143
1	137
1	135
1	130
1	125
1	111
1	118
1	170
2	164
2	173
2	132
2	140
2	145
2	147
2	122
2	146
2	143
2	132
2	163
2	141
2	128
2	171
2	141
2	167
2	148
2	162
2	132
2	144
2	145
2	127
2	137
2	171
2	135
2	135
2	172
2	135
2	110
2	181
2	136
2	138
2	148
2	143
2	154
2	141
2	134
2	112
2	119
2	170
3	144
3	153
3	118
3	134
3	129
3	121
3	119
3	126
3	123
3	120
3	146
3	115
3	118
3	156
3	127
3	146
3	132
3	143
3	121
3	131
3	135
3	116
3	126
3	150
3	121
3	115
3	153
3	129
3	105
3	156
3	123
3	114
3	142
3	134
3	127
3	128
3	122
3	103
3	114
3	162
