lot	earing
675449	2.3299
675449	2.3299
675449	2.1273
675449	2.0260
675449	2.2286
675449	2.6338
675449	2.3299
675449	2.6338
675449	2.4312
680868	2.2286
680868	2.1273
680868	2.5325
680868	2.2286
680868	2.4312
680868	2.6338
680868	2.3299
680868	2.1273
680868	2.0260
680871	2.3299
680871	2.2286
680871	2.2286
680871	2.3299
680871	2.5325
680871	2.6338
680871	2.0260
680871	2.1273
680871	2.2286
682313	2.3299
682313	2.4312
682313	2.1273
682313	2.1273
682313	2.1273
682313	2.4312
682313	2.4312
682313	2.1273
682313	2.1273
682315	2.3299
682315	2.1273
682315	1.9247
682315	2.2286
682315	2.2286
682315	2.3299
682315	2.4312
682315	1.9247
682315	1.8234
682316	2.0260
682316	1.9247
682316	2.0260
682316	2.0260
682316	2.0260
682316	2.1273
682316	2.0260
682316	1.9247
682316	2.2286
682511	2.2286
682511	2.4312
682511	2.4312
682511	2.4312
682511	2.1273
682511	2.5325
682511	2.5325
682511	2.4312
682511	2.2286
682512	2.4312
682512	2.5325
682512	2.5325
682512	2.6338
682512	2.3299
682512	2.5325
682512	2.4312
682512	2.6338
682512	2.4312
682513	2.5325
682513	2.6338
682513	2.4312
682513	2.5325
682513	2.1273
682513	2.4312
682513	2.5325
682513	2.4312
682513	2.3299
682514	2.5325
682514	2.4312
682514	2.2286
682514	2.4312
682514	2.1273
682514	2.3299
682514	2.3299
682514	2.3299
682514	2.2286
682515	2.6338
682515	2.4312
682515	2.3299
682515	2.4312
682515	2.8364
682515	2.0260
682515	2.4312
682515	2.3299
682515	2.5325
682517	1.6208
682517	1.7221
682517	1.6208
682517	1.9247
682517	1.5195
682517	1.7221
682517	2.0260
682517	2.0260
682517	2.1273
682518	2.3299
682518	2.3299
682518	2.5325
682518	2.0260
682518	2.3299
682518	2.2286
682518	2.3299
682518	2.2286
682518	2.4312
682519	2.7351
682519	2.5325
682519	2.5325
682519	2.6338
682519	3.0390
682519	2.8364
682519	2.6338
682519	2.5325
682519	2.4312
682523	2.6338
682523	2.4312
682523	2.2286
682523	2.4312
682523	2.7351
682523	2.3299
682523	2.3299
682523	2.3299
682523	2.6338
