Rep	Part	Value
1	1	1.375
2	1	1.366
3	1	1.454
4	1	1.461
5	1	1.533
6	1	1.404
7	1	1.46
8	1	1.482
9	1	1.417
10	1	1.486
11	1	1.469
12	1	1.427
13	1	1.366
14	1	1.449
15	1	1.386
16	1	1.404
17	1	1.42
18	1	1.494
19	1	1.325
20	1	1.451
21	1	1.352
22	1	1.36
23	1	1.452
24	1	1.499
25	1	1.434
1	2	1.475
2	2	1.417
3	2	1.405
4	2	1.356
5	2	1.416
6	2	1.342
7	2	1.397
8	2	1.439
9	2	1.327
10	2	1.306
11	2	1.419
12	2	1.45
13	2	1.451
14	2	1.359
15	2	1.462
16	2	1.491
17	2	1.492
18	2	1.427
19	2	1.415
20	2	1.465
21	2	1.455
22	2	1.374
23	2	1.374
24	2	1.498
25	2	1.419
1	3	1.408
2	3	1.536
3	3	1.492
4	3	1.394
5	3	1.389
6	3	1.52
7	3	1.392
8	3	1.383
9	3	1.422
10	3	1.379
11	3	1.473
12	3	1.336
13	3	1.412
14	3	1.462
15	3	1.409
16	3	1.409
17	3	1.39
18	3	1.479
19	3	1.451
20	3	1.454
21	3	1.428
22	3	1.395
23	3	1.454
24	3	1.36
25	3	1.377
1	4	1.442
2	4	1.463
3	4	1.491
4	4	1.461
5	4	1.367
6	4	1.418
7	4	1.412
8	4	1.411
9	4	1.448
10	4	1.42
11	4	1.397
12	4	1.382
13	4	1.451
14	4	1.418
15	4	1.302
16	4	1.415
17	4	1.355
18	4	1.416
19	4	1.41
20	4	1.449
21	4	1.406
22	4	1.4
23	4	1.383
24	4	1.411
25	4	1.371
1	5	1.466
2	5	1.413
3	5	1.496
4	5	1.431
5	5	1.364
6	5	1.464
7	5	1.39
8	5	1.424
9	5	1.328
10	5	1.405
11	5	1.429
12	5	1.38
13	5	1.399
14	5	1.363
15	5	1.449
16	5	1.37
17	5	1.533
18	5	1.382
19	5	1.359
20	5	1.418
21	5	1.377
22	5	1.479
23	5	1.302
24	5	1.465
25	5	1.386
1	6	1.52
2	6	1.467
3	6	1.387
4	6	1.423
5	6	1.354
6	6	1.393
7	6	1.405
8	6	1.44
9	6	1.275
10	6	1.424
11	6	1.391
12	6	1.364
13	6	1.446
14	6	1.346
15	6	1.442
16	6	1.368
17	6	1.494
18	6	1.348
19	6	1.403
20	6	1.38
21	6	1.395
22	6	1.37
23	6	1.564
24	6	1.385
25	6	1.544
1	7	1.424
2	7	1.42
3	7	1.431
4	7	1.424
5	7	1.404
6	7	1.382
7	7	1.364
8	7	1.382
9	7	1.345
10	7	1.469
11	7	1.414
12	7	1.294
13	7	1.478
14	7	1.387
15	7	1.412
16	7	1.412
17	7	1.403
18	7	1.411
19	7	1.401
20	7	1.396
21	7	1.445
22	7	1.345
23	7	1.372
24	7	1.443
25	7	1.333
1	8	1.318
2	8	1.405
3	8	1.469
4	8	1.381
5	8	1.406
6	8	1.483
7	8	1.37
8	8	1.384
9	8	1.417
10	8	1.481
11	8	1.326
12	8	1.381
13	8	1.373
14	8	1.389
15	8	1.388
16	8	1.36
17	8	1.393
18	8	1.438
19	8	1.468
20	8	1.377
21	8	1.345
22	8	1.347
23	8	1.48
24	8	1.48
25	8	1.405
