Part	Operator	Trial	Value
1	1	1	24.161
2	1	1	24.104
3	1	1	29.017
4	1	1	28.223
5	1	1	29.134
6	1	1	29.136
7	1	1	25.856
8	1	1	20.979
9	1	1	26.945
10	1	1	21.065
11	1	1	27.062
12	1	1	23.234
13	1	1	21.057
14	1	1	24.05
15	1	1	25.925
16	1	1	20.994
17	1	1	29.974
18	1	1	27.898
19	1	1	30.017
20	1	1	21.789
21	1	1	20.986
22	1	1	24.945
23	1	1	28.064
24	1	1	19.887
25	1	1	25.134
1	1	2	24.159
2	1	2	24.018
3	1	2	29.016
4	1	2	28.004
5	1	2	28.934
6	1	2	28.935
7	1	2	25.557
8	1	2	21.118
9	1	2	26.993
10	1	2	21.169
11	1	2	26.858
12	1	2	23.08
13	1	2	21.081
14	1	2	24.051
15	1	2	25.863
16	1	2	20.812
17	1	2	29.984
18	1	2	27.905
19	1	2	30.015
20	1	2	21.918
21	1	2	20.97
22	1	2	24.966
23	1	2	28.01
24	1	2	20
25	1	2	25.058
1	1	3	24.011
2	1	3	23.973
3	1	3	29.054
4	1	3	27.97
5	1	3	29.038
6	1	3	29.048
7	1	3	25.345
8	1	3	20.987
9	1	3	26.988
10	1	3	21.006
11	1	3	26.958
12	1	3	22.908
13	1	3	21.023
14	1	3	24.128
15	1	3	26.009
16	1	3	21.07
17	1	3	29.991
18	1	3	27.948
19	1	3	29.908
20	1	3	22.154
21	1	3	20.942
22	1	3	25.063
23	1	3	27.896
24	1	3	19.999
25	1	3	24.958
1	1	4	23.895
2	1	4	24.031
3	1	4	28.882
4	1	4	27.979
5	1	4	29.122
6	1	4	29.071
7	1	4	25.787
8	1	4	21.002
9	1	4	27.106
10	1	4	20.996
11	1	4	26.887
12	1	4	23.141
13	1	4	21.05
14	1	4	24.147
15	1	4	26.031
16	1	4	20.868
17	1	4	29.922
18	1	4	27.964
19	1	4	30.151
20	1	4	22.086
21	1	4	21.19
22	1	4	24.992
23	1	4	27.928
24	1	4	19.85
25	1	4	24.99
1	1	5	23.93
2	1	5	24.003
3	1	5	28.877
4	1	5	28.081
5	1	5	29.03
6	1	5	29.045
7	1	5	25.608
8	1	5	20.94
9	1	5	26.84
10	1	5	21.024
11	1	5	26.976
12	1	5	23.223
13	1	5	20.969
14	1	5	24.052
15	1	5	26.108
16	1	5	20.989
17	1	5	30.012
18	1	5	28.122
19	1	5	29.837
20	1	5	21.971
21	1	5	20.902
22	1	5	25.143
23	1	5	27.951
24	1	5	20.117
25	1	5	24.95
1	2	1	23.588
2	2	1	23.84
3	2	1	28.584
4	2	1	27.994
5	2	1	28.643
6	2	1	28.736
7	2	1	24.462
8	2	1	20.634
9	2	1	26.945
10	2	1	20.828
11	2	1	26.816
12	2	1	22.728
13	2	1	21.024
14	2	1	24.095
15	2	1	25.654
16	2	1	20.708
17	2	1	29.798
18	2	1	27.658
19	2	1	29.736
20	2	1	21.889
21	2	1	20.831
22	2	1	24.596
23	2	1	27.899
24	2	1	19.681
25	2	1	24.934
1	2	2	24.05
2	2	2	23.726
3	2	2	28.869
4	2	2	27.711
5	2	2	28.876
6	2	2	28.517
7	2	2	24.388
8	2	2	20.972
9	2	2	27.175
10	2	2	20.445
11	2	2	26.692
12	2	2	22.792
13	2	2	20.695
14	2	2	23.84
15	2	2	26.03
16	2	2	20.905
17	2	2	29.475
18	2	2	27.95
19	2	2	29.916
20	2	2	21.727
21	2	2	20.848
22	2	2	24.818
23	2	2	27.731
24	2	2	19.692
25	2	2	24.907
1	2	3	23.85
2	2	3	23.773
3	2	3	28.702
4	2	3	27.92
5	2	3	28.977
6	2	3	28.91
7	2	3	25.548
8	2	3	20.644
9	2	3	26.761
10	2	3	20.694
11	2	3	26.711
12	2	3	22.728
13	2	3	20.892
14	2	3	23.915
15	2	3	25.643
16	2	3	20.747
17	2	3	29.552
18	2	3	27.594
19	2	3	29.977
20	2	3	21.83
21	2	3	20.471
22	2	3	24.714
23	2	3	27.958
24	2	3	19.807
25	2	3	24.837
1	2	4	23.579
2	2	4	23.626
3	2	4	28.923
4	2	4	27.539
5	2	4	28.93
6	2	4	28.989
7	2	4	24.793
8	2	4	21.028
9	2	4	27.006
10	2	4	20.745
11	2	4	26.932
12	2	4	22.961
13	2	4	20.674
14	2	4	23.97
15	2	4	25.938
16	2	4	20.725
17	2	4	29.738
18	2	4	27.795
19	2	4	29.666
20	2	4	21.837
21	2	4	20.667
22	2	4	24.462
23	2	4	28.056
24	2	4	20.035
25	2	4	24.831
1	2	5	23.847
2	2	5	23.715
3	2	5	28.529
4	2	5	27.686
5	2	5	28.91
6	2	5	28.613
7	2	5	25.009
8	2	5	20.92
9	2	5	26.69
10	2	5	20.889
11	2	5	26.648
12	2	5	22.854
13	2	5	20.825
14	2	5	23.797
15	2	5	25.8
16	2	5	20.729
17	2	5	29.951
18	2	5	27.758
19	2	5	29.808
20	2	5	21.635
21	2	5	20.875
22	2	5	24.65
23	2	5	27.746
24	2	5	19.834
25	2	5	24.987
