Radio	Inspector_A	Inspector_B	Actual
1	1	1	1
2	1	1	1
3	1	1	1
4	1	1	1
6	1	1	1
7	1	1	1
10	1	1	1
13	1	1	1
15	1	1	1
16	1	1	1
17	1	1	1
19	1	1	1
21	1	1	1
22	1	1	1
23	1	1	1
24	1	1	1
25	1	1	1
27	1	1	1
29	1	1	1
30	1	1	1
32	1	1	1
33	1	1	1
34	1	1	1
35	1	1	1
38	1	1	1
40	1	1	1
41	1	1	1
42	1	1	1
43	1	1	1
44	1	1	1
45	1	1	1
46	1	1	1
47	1	1	1
48	1	1	1
49	1	1	1
50	1	1	1
51	1	1	1
52	1	1	1
53	1	1	1
54	1	1	1
55	1	1	1
56	1	1	1
58	1	1	1
59	1	1	1
60	1	1	1
62	1	1	1
63	1	1	1
66	1	1	1
67	1	1	1
70	1	1	1
71	1	1	1
73	1	1	1
74	1	1	1
77	1	1	1
78	1	1	1
79	1	1	1
80	1	1	1
81	1	1	1
82	1	1	1
83	1	1	1
84	1	1	1
85	1	1	1
86	1	1	1
87	1	1	1
88	1	1	1
89	1	1	1
90	1	1	1
92	1	1	1
94	1	1	1
96	1	1	1
97	1	1	1
98	1	1	1
100	1	1	1
102	1	1	1
103	1	1	1
104	1	1	1
106	1	1	1
107	1	1	1
108	1	1	1
110	1	1	1
111	1	1	1
112	1	1	1
113	1	1	1
114	1	1	1
116	1	1	1
117	1	1	1
120	1	1	1
121	1	1	1
123	1	1	1
124	1	1	1
125	1	1	1
126	1	1	1
129	1	1	1
130	1	1	1
131	1	1	1
132	1	1	1
133	1	1	1
134	1	1	1
135	1	1	1
136	1	1	1
137	1	1	1
139	1	1	1
140	1	1	1
141	1	1	1
142	1	1	1
143	1	1	1
144	1	1	1
145	1	1	1
147	1	1	1
148	1	1	1
149	1	1	1
150	1	1	1
151	1	1	1
153	1	1	1
154	1	1	1
156	1	1	1
157	1	1	1
159	1	1	1
161	1	1	1
162	1	1	1
163	1	1	1
164	1	1	1
165	1	1	1
166	1	1	1
167	1	1	1
168	1	1	1
169	1	1	1
171	1	1	1
172	1	1	1
173	1	1	1
174	1	1	1
178	1	1	1
179	1	1	1
180	1	1	1
181	1	1	1
182	1	1	1
183	1	1	1
184	1	1	1
185	1	1	1
186	1	1	1
187	1	1	1
188	1	1	1
189	1	1	1
190	1	1	1
191	1	1	1
192	1	1	1
193	1	1	1
195	1	1	1
197	1	1	1
199	1	1	2
76	2	1	1
99	2	1	1
105	2	1	2
122	2	1	2
160	2	1	2
198	2	1	2
12	1	2	2
26	1	2	2
28	1	2	2
31	1	2	2
39	1	2	2
65	1	2	2
91	1	2	2
93	1	2	2
101	1	2	2
109	1	2	2
127	1	2	2
155	1	2	2
170	1	2	2
194	1	2	2
5	2	2	2
8	2	2	2
9	2	2	2
11	2	2	2
14	2	2	2
18	2	2	2
20	2	2	2
36	2	2	2
37	2	2	2
57	2	2	2
61	2	2	2
64	2	2	2
68	2	2	2
69	2	2	2
72	2	2	2
75	2	2	2
95	2	2	1
115	2	2	1
118	2	2	1
119	2	2	1
128	2	2	1
138	2	2	1
146	2	2	1
152	2	2	1
158	2	2	1
175	2	2	1
176	2	2	1
177	2	2	1
196	2	2	1
200	2	2	1
