Subject	Appraiser	Rating
1	1	1
2	1	1
3	1	1
4	1	1
5	1	2
6	1	1
7	1	1
8	1	2
9	1	2
10	1	1
11	1	2
12	1	1
13	1	1
14	1	2
15	1	1
16	1	1
17	1	1
18	1	2
19	1	1
20	1	2
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
26	1	1
27	1	1
28	1	1
29	1	1
30	1	1
31	1	1
32	1	1
33	1	1
34	1	1
35	1	1
36	1	2
37	1	2
38	1	1
39	1	1
40	1	1
41	1	1
42	1	1
43	1	1
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	1	1
50	1	1
51	1	1
52	1	1
53	1	1
54	1	1
55	1	1
56	1	1
57	1	2
58	1	1
59	1	1
60	1	1
61	1	2
62	1	1
63	1	1
64	1	2
65	1	1
66	1	1
67	1	1
68	1	2
69	1	2
70	1	1
71	1	1
72	1	2
73	1	1
74	1	1
75	1	2
76	1	2
77	1	1
78	1	1
79	1	1
80	1	1
81	1	1
82	1	1
83	1	1
84	1	1
85	1	1
86	1	1
87	1	1
88	1	1
89	1	1
90	1	1
91	1	1
92	1	1
93	1	1
94	1	1
95	1	2
96	1	1
97	1	1
98	1	1
99	1	2
100	1	1
101	1	1
102	1	1
103	1	1
104	1	1
105	1	2
106	1	1
107	1	1
108	1	1
109	1	1
110	1	1
111	1	1
112	1	1
113	1	1
114	1	1
115	1	2
116	1	1
117	1	1
118	1	2
119	1	2
120	1	1
121	1	1
122	1	2
123	1	1
124	1	1
125	1	1
126	1	1
127	1	1
128	1	2
129	1	1
130	1	1
131	1	1
132	1	1
133	1	1
134	1	1
135	1	1
136	1	1
137	1	1
138	1	2
139	1	1
140	1	1
141	1	1
142	1	1
143	1	1
144	1	1
145	1	1
146	1	2
147	1	1
148	1	1
149	1	1
150	1	1
151	1	1
152	1	2
153	1	1
154	1	1
155	1	1
156	1	1
157	1	1
158	1	2
159	1	1
160	1	2
161	1	1
162	1	1
163	1	1
164	1	1
165	1	1
166	1	1
167	1	1
168	1	1
169	1	1
170	1	1
171	1	1
172	1	1
173	1	1
174	1	1
175	1	2
176	1	2
177	1	2
178	1	1
179	1	1
180	1	1
181	1	1
182	1	1
183	1	1
184	1	1
185	1	1
186	1	1
187	1	1
188	1	1
189	1	1
190	1	1
191	1	1
192	1	1
193	1	1
194	1	1
195	1	1
196	1	2
197	1	1
198	1	2
199	1	1
200	1	2
1	2	1
2	2	1
3	2	1
4	2	1
5	2	2
6	2	1
7	2	1
8	2	2
9	2	2
10	2	1
11	2	2
12	2	2
13	2	1
14	2	2
15	2	1
16	2	1
17	2	1
18	2	2
19	2	1
20	2	2
21	2	1
22	2	1
23	2	1
24	2	1
25	2	1
26	2	2
27	2	1
28	2	2
29	2	1
30	2	1
31	2	2
32	2	1
33	2	1
34	2	1
35	2	1
36	2	2
37	2	2
38	2	1
39	2	2
40	2	1
41	2	1
42	2	1
43	2	1
44	2	1
45	2	1
46	2	1
47	2	1
48	2	1
49	2	1
50	2	1
51	2	1
52	2	1
53	2	1
54	2	1
55	2	1
56	2	1
57	2	2
58	2	1
59	2	1
60	2	1
61	2	2
62	2	1
63	2	1
64	2	2
65	2	2
66	2	1
67	2	1
68	2	2
69	2	2
70	2	1
71	2	1
72	2	2
73	2	1
74	2	1
75	2	2
76	2	1
77	2	1
78	2	1
79	2	1
80	2	1
81	2	1
82	2	1
83	2	1
84	2	1
85	2	1
86	2	1
87	2	1
88	2	1
89	2	1
90	2	1
91	2	2
92	2	1
93	2	2
94	2	1
95	2	2
96	2	1
97	2	1
98	2	1
99	2	1
100	2	1
101	2	2
102	2	1
103	2	1
104	2	1
105	2	1
106	2	1
107	2	1
108	2	1
109	2	2
110	2	1
111	2	1
112	2	1
113	2	1
114	2	1
115	2	2
116	2	1
117	2	1
118	2	2
119	2	2
120	2	1
121	2	1
122	2	1
123	2	1
124	2	1
125	2	1
126	2	1
127	2	2
128	2	2
129	2	1
130	2	1
131	2	1
132	2	1
133	2	1
134	2	1
135	2	1
136	2	1
137	2	1
138	2	2
139	2	1
140	2	1
141	2	1
142	2	1
