Subgroup	Width_Deviation
1	0.39
1	3.39
1	1.89
1	0.95
1	0.81
1	6.08
1	2.42
1	2.04
2	0.37
2	2.00
2	0.93
2	2.15
2	0.63
2	1.25
2	0.11
2	0.01
3	1.47
3	1.47
3	0.93
3	0.52
3	4.29
3	0.48
3	1.44
3	0.10
4	2.64
4	0.45
4	0.68
4	1.99
4	2.84
4	1.09
4	0.79
4	0.15
5	0.65
5	2.71
5	0.52
5	0.34
5	0.64
5	0.19
5	0.91
5	3.33
6	3.78
6	0.35
6	4.32
6	0.29
6	0.08
6	0.80
6	0.43
6	2.02
7	0.70
7	3.07
7	2.48
7	0.84
7	3.98
7	3.34
7	1.14
7	3.87
8	2.02
8	2.42
8	1.15
8	2.37
8	1.58
8	0.69
8	0.08
8	1.71
9	3.43
9	0.85
9	0.07
9	3.01
9	0.62
9	0.21
9	3.63
9	0.96
10	0.73
10	0.33
10	2.18
10	1.48
10	1.69
10	4.69
10	0.87
10	0.53
11	0.69
11	0.60
11	1.49
11	2.27
11	1.34
11	0.21
11	0.43
11	1.42
12	0.72
12	0.10
12	1.77
12	0.18
12	0.23
12	0.26
12	3.08
12	0.97
13	2.83
13	2.35
13	0.39
13	4.72
13	1.93
13	0.49
13	0.65
13	0.19
14	1.21
14	1.05
14	0.33
14	0.25
14	0.91
14	1.16
14	2.05
14	0.21
15	1.25
15	0.06
15	1.02
15	0.07
15	1.40
15	0.77
15	1.57
15	0.56
16	1.24
16	2.46
16	0.52
16	0.02
16	3.99
16	1.57
16	0.34
16	0.60
17	0.11
17	0.04
17	0.74
17	0.59
17	0.71
17	2.15
17	0.09
17	0.13
18	5.97
18	1.33
18	0.06
18	0.34
18	0.50
18	2.11
18	0.37
18	0.17
19	0.15
19	2.12
19	0.08
19	1.82
19	0.26
19	1.27
19	0.52
19	2.72
20	1.06
20	2.60
20	2.92
20	1.25
20	0.77
20	0.33
20	2.49
20	0.03
21	1.09
21	0.04
21	0.43
21	2.15
21	4.20
21	0.92
21	0.26
21	0.13
22	0.09
22	0.25
22	0.46
22	2.60
22	0.64
22	0.35
22	1.45
22	0.45
23	0.17
23	0.46
23	0.92
23	4.00
23	0.63
23	0.52
23	0.14
23	3.65
24	0.19
24	0.28
24	0.76
24	0.37
24	1.29
24	1.32
24	0.14
24	0.60
25	0.14
25	3.78
25	0.56
25	0.18
25	0.32
25	3.04
25	0.29
25	2.80
26	0.92
26	0.42
26	1.50
26	1.20
26	0.52
26	0.44
26	2.25
26	0.38
27	0.12
27	1.48
27	1.52
27	3.26
27	1.00
27	0.43
27	1.46
27	3.34
28	0.13
28	0.15
28	2.29
28	0.25
28	0.18
28	0.66
28	0.30
28	0.04
29	0.07
29	0.18
29	4.76
29	2.12
29	2.17
29	0.03
29	0.92
29	2.19
30	3.56
30	0.34
30	0.01
30	1.39
30	1.14
30	1.08
30	1.44
30	1.03
31	0.17
31	0.36
31	0.39
31	0.38
31	0.96
31	1.50
31	1.28
31	1.12
