X1	X2	X3	X4	X5	X6	X7	X8
2.35	2.3	2.15	2.19	2.54	2.46	2.41	2.31
2.44	2.08	2.22	2.62	2.3	2.54	2.09	2.66
2.55	2.64	2.49	2.6	2.5	2.25	2.49	2.38
2.34	2.08	2.28	2.04	2.23	2.38	2.62	2.02
2.65	2.19	2.2	2.45	2.93	2.72	2.07	2.29
2.42	2.52	2.56	2.91	2.56	2.04	2.05	2.56
2.39	2.27	2.27	2.45	2.41	2.65	2.13	2.42
2.38	2.4	2.2	2.36	2.14	2.47	2.18	2.55
2.47	2.99	1.9	2.21	2.44	2.11	2.08	2.37
2.05	2.78	2.15	1.9	2.35	2.36	2.5	2.26
2.84	2.34	2.51	2.74	2.67	1.94	2.76	2.56
2.39	2.17	2.42	3	2.28	2.41	2.4	1.95
2.26	2.36	2.4	2.22	2.87	2.28	2.39	2.95
1.82	2.71	2.13	2.46	2.32	2.3	2.08	2.64
2.35	2.12	2.31	2.38	2.57	1.76	2.46	2.34
2.15	1.85	1.93	2.44	2.5	2.16	2.38	2.33
2.76	2.12	2.51	2.23	2.24	2.32	2.51	2.12
2.17	1.78	1.92	2.06	2.48	2.64	2.25	2.04
2.97	2.75	2.29	2.03	2.82	2.5	2.42	2.62
2.59	1.92	2.25	2.08	2.49	2.5	2.33	2.51
2.32	2.72	2.31	2.54	2.49	1.84	2.17	1.81
2.33	2.44	2.33	2.32	1.97	2.63	2.27	1.81
1.89	2.8	2.59	2.48	1.86	2.23	2.11	2.49
2.14	2.22	1.86	1.9	2.65	2.19	2.4	2.37
2.17	2.25	1.92	2.23	2.05	2.44	2.68	2.58
1.94	2.15	2.25	2.73	1.98	2.44	2.85	2.27
2.52	2.43	2.66	2.6	2.28	2.45	2.38	2.31
2.41	2.03	1.85	2.56	2.22	2.45	2.65	2.4
2.32	2.33	2.44	2.7	2.13	2.34	2.17	2.77
2.65	1.97	2.37	2.47	2.31	2.48	2.4	2.3
2.57	2.2	2.37	2.34	2.55	2.24	2.03	2.37
2.39	2.04	1.98	2.74	2.48	2.52	2.47	2.04
