Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR TOTAL
1900,0.40,1.06,0.75,9.18,1.84,0.49,0.48,0.22,1.54,0.13,0.19,0.61,16.89
1901,0.53,0.30,1.74,3.51,1.62,1.76,0.46,1.69,0.16,0.65,Tr,1.43,13.85
1902,0.37,0.48,1.48,1.01,2.32,1.46,1.26,0.53,5.46,1.44,1.29,1.34,18.44
1903,0.08,1.52,1.45,2.31,2.02,1.87,0.95,1.46,1.31,3.43,0.15,0.16,16.71
1904,0.09,0.31,2.37,1.45,5.35,2.72,1.05,1.00,1.60,1.06,0.08,0.70,17.78
1905,0.81,0.70,1.85,6.65,4.78,0.55,1.86,0.22,1.64,2.54,0.23,Tr,21.83
1906,0.22,0.17,2.45,5.32,3.37,1.56,3.81,2.50,3.13,1.80,1.87,Tr,26.20
1907,0.22,0.56,0.47,3.59,5.29,0.59,2.79,0.44,1.06,0.58,0.41,0.27,16.27
1908,0.60,0.09,0.23,0.71,3.45,0.29,2.07,3.30,1.55,2.59,1.96,1.04,17.88
1909,0.11,1.21,3.96,3.6,1.85,1.67,3.18,2.42,4.51,0.55,1.56,1.72,26.34
1910,0.20,1.39,0.05,1.34,3.38,0.48,1.58,2.69,0.48,1.05,0.27,0.53,13.44
1911,0.73,1.56,0.64,2.68,0.90,1.30,1.69,1.24,0.26,1.59,0.72,0.20,13.51
1912,0.58,1.32,2,1.71,2.82,1.91,3.33,1.77,2.70,1.03,0.93,0.46,20.56
1913,0.49,1.28,0.71,1.58,1.85,0.48,4.04,0.54,2.62,2.24,0.00,4.20,20.03
1914,0.00,0.08,1.77,3.38,3.57,1.70,2.32,1.97,0.25,2.69,0.31,0.29,18.33
1915,0.39,1.31,1.68,4.46,3.83,1.78,2.58,1.67,3.02,1.83,0.25,1.50,24.30
1916,0.69,0.02,1.02,2.36,3.77,0.53,1.26,1.90,1.32,4.60,1.32,0.86,19.65
1917,0.31,0.54,1.75,2.81,6.17,0.13,0.48,0.20,0.13,0.95,0.10,0.42,13.99
1918,0.68,1.18,0.72,2.98,2.03,1.28,2.54,0.57,3.62,1.10,0.78,1.36,18.84
1919,0.00,0.32,1.49,1.65,0.88,1.10,7.46,0.95,0.88,1.31,2.07,0.50,18.61
1920,1.22,1.39,0.58,4.07,1.61,1.87,0.68,2.55,0.73,2.43,0.72,0.85,18.70
1921,0.11,0.31,0.77,4.81,1.50,3.62,1.53,2.00,0.17,1.13,0.98,1.46,18.39
1922,0.63,0.59,0.81,3.32,1.02,0.62,1.04,1.50,Tr,1.13,2.58,0.56,13.80
1923,Tr,1.71,2.29,1.29,3.47,4.44,2.46,2.68,0.84,5.43,0.40,0.88,25.89
1924,0.33,0.36,1.77,1.98,2.77,Tr,0.38,0.47,2.06,1.47,0.16,1.33,13.08
1925,0.06,Tr,0.35,0.25,1.61,1.86,2.1,1.83,2.24,4.72,0.99,1.18,17.19
1926,0.72,0.65,2.69,3.05,3.22,0.55,1.33,2.03,0.41,0.95,0.33,1.97,17.90
1927,0.22,0.47,2.66,3.46,1.72,3.47,2.39,1.26,1.29,0.86,0.95,0.69,19.44
1928,0.07,1.71,2.72,1.55,5.48,2.84,1.34,0.66,0.23,1.78,2.09,0.04,20.51
1929,0.36,0.73,2.57,1.6,1.50,1.75,4.06,2.61,1.79,1.70,1.89,0.66,21.22
1930,0.64,0.60,0.88,0.99,2.17,1.02,2.85,3.81,0.36,0.65,1.33,0.68,15.98
1931,0.00,1.81,1.59,1.6,3.67,2.18,1.07,0.53,0.20,0.71,0.85,0.02,14.23
1932,0.33,1.06,1.47,2.01,1.10,1.08,1.55,1.17,0.10,1.00,0.42,0.56,11.85
1933,Tr,0.26,1.28,4.15,3.94,0.30,0.55,1.61,2.46,Tr,0.40,1.13,16.08
1934,0.10,1.93,1.63,2.82,3.11,1.90,0.24,0.21,1.02,0.00,0.84,0.22,14.02
1935,0.08,0.51,0.14,2.8,7.04,0.80,0.33,1.09,1.40,1.46,0.78,0.01,16.44
1936,0.24,0.38,2.88,1.25,2.75,2.85,0.99,3.73,1.86,2.71,0.25,0.36,20.25
1937,0.34,0.58,0.83,2.01,2.31,3.91,0.82,0.91,0.69,0.58,0.44,2.16,15.58
1938,0.60,0.59,2.59,4.42,4.38,2.82,3.31,1.32,5.21,0.68,2.13,1.04,29.09
1939,0.83,0.88,1.68,1.94,1.74,0.84,0.27,0.94,0.69,0.99,0.05,0.26,11.11
1940,1.54,1.11,1.58,2.05,2.57,0.83,1.87,1.47,5.50,0.60,0.75,0.42,20.29
1941,1.12,0.29,2.92,4.08,2.07,1.53,2.51,2.54,2.22,3.13,0.71,0.87,23.99
1942,1.19,1.85,0.93,6.94,1.80,3.22,0.57,1.66,1.16,6.04,0.41,0.46,26.23
1943,0.10,0.33,1.19,1.36,4.85,1.17,2.33,3.08,Tr,0.04,0.96,0.34,15.75
1944,0.90,0.40,3.79,6.81,1.77,0.96,1.92,0.64,Tr,0.45,0.33,0.68,18.65
