index,Constraint Satisfaction Problem (CSP),Hyper-Heuristics,Stochastic control,Tabu Search,Variable Neighborhood Search (VNS),brute force,Sum
simone biles,1,2,1,2,2,2,10
shilese jones,1,2,0,2,1,2,8
jade carey,1,1,1,2,1,2,8
jordan chiles,1,0,1,1,1,1,5
konnor mcclain,0,0,0,1,1,0,2
addison fatta,0,0,1,0,0,1,2
ashlee sullivan,0,1,0,0,0,0,1
chloe cho,0,0,1,0,0,0,1
kayla dicello,0,0,0,0,1,0,1
skye blakely,0,1,0,0,0,0,1
kelise woolford,0,0,1,0,0,0,1
joscelyn roberson,0,0,1,0,0,0,1
leanne wong,0,0,0,0,1,0,1
christiane popovich,0,1,0,0,0,0,1
annalisa milton,0,0,1,0,0,0,1
