cycle	treatment	score
1	1	3.2218
1	1	3.3547
1	1	3.1334
1	1	2.6289
1	1	3.8816
1	1	3.4383
1	1	2.7742
1	1	3.4454
1	1	3.6696
1	1	3.1223
1	2	2.2389
1	2	2.4392
1	2	2.0989
1	2	1.7627
1	2	2.1132
1	2	2.1229
1	2	2.5048
1	2	2.2467
1	2	1.4007
1	2	1.7422
1	3	2.679
1	3	2.9687
1	3	2.775
1	3	3.0185
1	3	2.2233
1	3	2.4641
1	3	2.8179
1	3	2.6048
1	3	2.7132
1	3	3.0655
2	1	3.1506
2	1	3.03
2	1	2.7948
2	1	2.5685
2	1	3.2388
2	1	3.1351
2	1	2.7016
2	1	2.842
2	1	2.8887
2	1	2.6499
2	2	1.3373
2	2	2.0123
2	2	1.9434
2	2	2.019
2	2	1.297
2	2	1.88
2	2	2.0632
2	2	2.0151
2	2	1.8988
2	2	1.8638
2	3	1.8032
2	3	2.1526
2	3	2.4623
2	3	2.2728
2	3	1.8494
2	3	2.4745
2	3	2.0292
2	3	3.4265
2	3	1.3626
2	3	2.8369
3	1	3.0114
3	1	3.0123
3	1	2.3802
3	1	3.0909
3	1	2.3173
3	1	2.1572
3	1	1.6737
3	1	1.2398
3	1	2.4494
3	1	2.6677
3	2	1.717
3	2	2.2421
3	2	1.8357
3	2	1.8986
3	2	1.3799
3	2	1.8926
3	2	2.2674
3	2	1.8818
3	2	1.5106
3	2	1.7043
3	3	1.5333
3	3	1.8093
3	3	2.26
3	3	1.9291
3	3	2.6441
3	3	1.6144
3	3	2.5819
3	3	3.1609
3	3	2.1734
3	3	2.9636
