date,day,temp_h,temp_l,precip,bb,mb,wb,qb,total
4/1,Saturday,46.00,37.00,0.00,606.00,1446.00,1915.00,1430.00,5397.00
4/2,Sunday,62.10,41.00,0.00,2021.00,3943.00,4207.00,2862.00,13033.00
4/3,Monday,63.00,50.00,0.03,2470.00,4988.00,5178.00,3689.00,16325.00
4/4,Tuesday,51.10,46.00,1.18,723.00,1913.00,2279.00,1666.00,6581.00
4/5,Wednesday,63.00,46.00,0.00,2807.00,5276.00,5711.00,4197.00,17991.00
4/6,Thursday,48.90,41.00,0.73,461.00,1324.00,1739.00,1372.00,4896.00
4/7,Friday,48.00,43.00,T,1222.00,2955.00,3399.00,2765.00,10341.00
4/8,Saturday,55.90,39.90,0.00,1674.00,3163.00,4082.00,2691.00,11610.00
4/9,Sunday,66.00,45.00,0.00,2375.00,4377.00,4886.00,3261.00,14899.00
4/10,Monday,73.90,55.00,0.00,3324.00,6359.00,6881.00,4731.00,21295.00
4/11,Tuesday,80.10,62.10,0.00,3887.00,7247.00,8079.00,5501.00,24714.00
4/12,Wednesday,73.90,57.90,0.02,2565.00,5633.00,6620.00,4537.00,19355.00
4/13,Thursday,64.00,48.90,0.00,3353.00,6052.00,6775.00,4700.00,20880.00
4/14,Friday,64.90,48.90,0.00,2942.00,5054.00,5877.00,4142.00,18015.00
4/15,Saturday,64.90,52.00,0.00,2253.00,3853.00,4965.00,3291.00,14362.00
4/16,Sunday,84.90,62.10,T,2877.00,4585.00,5259.00,3687.00,16408.00
4/17,Monday,73.90,64.00,T,3152.00,6352.00,6924.00,4658.00,21086.00
4/18,Tuesday,66.00,50.00,0.00,3415.00,6691.00,7341.00,5012.00,22459.00
4/19,Wednesday,52.00,45.00,T,1965.00,4632.00,5234.00,3996.00,15827.00
4/20,Thursday,64.90,50.00,0.17,1567.00,3365.00,4302.00,3056.00,12290.00
4/21,Friday,53.10,48.00,0.29,1426.00,3142.00,3674.00,2672.00,10914.00
4/22,Saturday,55.90,52.00,0.11,1318.00,2297.00,2963.00,2366.00,8944.00
4/23,Sunday,64.90,46.90,0.00,2520.00,4681.00,5105.00,3434.00,15740.00
4/24,Monday,60.10,50.00,T,2544.00,5366.00,5762.00,4183.00,17855.00
4/25,Tuesday,54.00,50.00,0.91,611.00,1402.00,1902.00,1578.00,5493.00
4/26,Wednesday,59.00,54.00,0.34,1247.00,2774.00,3429.00,2369.00,9819.00
4/27,Thursday,68.00,59.00,0.00,2959.00,5311.00,6026.00,4285.00,18581.00
4/28,Friday,82.90,57.90,0.00,3679.00,6774.00,7196.00,5138.00,22787.00
4/29,Saturday,84.00,64.00,0.06,3315.00,5605.00,6045.00,4078.00,19043.00
4/30,Sunday,64.00,54.00,0.00,2225.00,4057.00,4513.00,3137.00,13932.00
5/1,Monday,72.00,50.00,0.00,3084.00,6506.00,6793.00,4820.00,21203.00
5/2,Tuesday,73.90,66.90,0.00,3423.00,7035.00,7789.00,5449.00,23696.00
5/3,Wednesday,64.90,57.90,0.00,3342.00,6984.00,7445.00,4804.00,22575.00
5/4,Thursday,63.00,50.00,0.00,3019.00,6525.00,6922.00,5144.00,21610.00
5/5,Friday,59.00,52.00,3.02,513.00,1471.00,1951.00,1421.00,5356.00
5/6,Saturday,64.90,57.00,0.18,1892.00,3815.00,5502.00,3965.00,15174.00
5/7,Sunday,54.00,48.90,0.01,3539.00,3547.00,4941.00,3851.00,15878.00
5/8,Monday,57.00,45.00,0.00,2886.00,5812.00,6249.00,4432.00,19379.00
5/9,Tuesday,61.00,48.00,0.00,2718.00,6455.00,6910.00,5000.00,21083.00
5/10,Wednesday,70.00,51.10,0.00,2810.00,6396.00,7075.00,4980.00,21261.00
5/11,Thursday,61.00,51.80,0.00,2657.00,6179.00,6750.00,5139.00,20725.00
5/12,Friday,62.10,51.10,0.00,2640.00,5367.00,6325.00,4692.00,19024.00
5/13,Saturday,51.10,45.00,1.31,151.00,484.00,874.00,865.00,2374.00
5/14,Sunday,64.90,46.00,0.02,1452.00,2704.00,3320.00,2389.00,9865.00
5/15,Monday,66.90,55.90,0.00,2685.00,5865.00,5981.00,4550.00,19081.00
5/16,Tuesday,78.10,57.90,0.00,3666.00,7847.00,8420.00,6209.00,26142.00
5/17,Wednesday,90.00,66.00,0.00,3535.00,7888.00,8540.00,6121.00,26084.00
5/18,Thursday,91.90,75.00,0.00,3190.00,6886.00,7645.00,5753.00,23474.00
5/19,Friday,90.00,75.90,0.00,2952.00,6432.00,6859.00,5272.00,21515.00
5/20,Saturday,64.00,55.90,0.01,2161.00,3896.00,5198.00,3910.00,15165.00
5/21,Sunday,66.90,55.00,0.00,2612.00,4656.00,5634.00,3782.00,16684.00
5/22,Monday,61.00,54.00,0.59,768.00,1633.00,2116.00,1609.00,6126.00
5/23,Tuesday,68.00,57.90,0.00,3174.00,6715.00,7011.00,4899.00,21799.00
5/24,Wednesday,66.90,57.00,0.04,2969.00,6005.00,6872.00,4344.00,20190.00
5/25,Thursday,57.90,55.90,0.58,488.00,1196.00,1789.00,1316.00,4789.00
5/26,Friday,73.00,55.90,0.10,2590.00,4563.00,5344.00,3642.00,16139.00
5/27,Saturday,71.10,61.00,0.00,2609.00,4013.00,6105.00,3703.00,16430.00
5/28,Sunday,71.10,59.00,0.00,2640.00,4048.00,5456.00,3549.00,15693.00
5/29,Monday,57.90,55.90,0.13,836.00,1730.00,2738.00,1704.00,7008.00
5/30,Tuesday,59.00,55.90,0.06,2301.00,5366.00,5938.00,4431.00,18036.00
5/31,Wednesday,75.00,57.90,0.03,2689.00,5717.00,6523.00,4575.00,19504.00
6/1,Thursday,78.10,62.10,0.00,3468.00,7328.00,8461.00,6184.00,25441.00
6/2,Friday,73.90,60.10,0.01,3271.00,7007.00,7968.00,5293.00,23539.00
6/3,Saturday,72.00,55.00,0.01,2589.00,4510.00,6210.00,4084.00,17393.00
6/4,Sunday,68.00,60.10,0.09,1805.00,3127.00,4023.00,3023.00,11978.00
6/5,Monday,66.90,60.10,0.02,2171.00,4552.00,5276.00,3359.00,15358.00
6/6,Tuesday,55.90,53.10,0.06,1193.00,3021.00,3807.00,2572.00,10593.00
6/7,Wednesday,66.90,54.00,0.00,3211.00,7180.00,7632.00,5072.00,23095.00
6/8,Thursday,68.00,59.00,0.00,3253.00,7083.00,7778.00,5288.00,23402.00
6/9,Friday,80.10,59.00,0.00,3401.00,6859.00,7744.00,5155.00,23159.00
6/10,Saturday,84.00,68.00,0.00,3066.00,5193.00,6391.00,4425.00,19075.00
