year	Global_temp_anomaly	CO2(ppm)	DJIA
1959	0.0596	315.97	679.36
1960	0.0204	316.91	615.89
1961	0.0775	317.64	731.14
1962	0.0888	318.45	652.1
1963	0.1068	318.99	762.95
1964	-0.1495	319.62	874.13
1965	-0.0780	320.04	969.26
1966	-0.0227	321.38	785.69
1967	-0.0131	322.16	905.11
1968	-0.0296	323.04	943.75
1969	0.0929	324.62	800.36
1970	0.0372	325.68	838.92
1971	-0.0783	326.32	890.2
1972	0.0264	327.45	1020.02
1973	0.1641	329.68	850.86
1974	-0.0719	330.18	616.24
1975	0.0034	331.11	852.41
1976	-0.0792	332.04	1004.65
1977	0.1978	333.83	831.17
1978	0.1123	335.40	805.1
1979	0.2273	336.84	838.74
1980	0.2637	338.75	963.99
1981	0.2999	340.11	875
1982	0.1815	341.45	1046.54
1983	0.3411	343.05	1258.64
1984	0.1490	344.65	1211.57
1985	0.1342	346.12	1546.67
1986	0.2296	347.42	1895.95
1987	0.3696	349.18	1938.83
1988	0.3757	351.57	2168.27
1989	0.2970	353.12	2753.20
1990	0.4328	354.39	2633.66
1991	0.4055	355.61	3168.83
1992	0.2571	356.45	3301.10
1993	0.2853	357.10	3754.10
1994	0.3409	358.83	3833.40
1995	0.4577	360.82	5117.10
1996	0.3228	362.61	6448.30
1997	0.5187	363.73	7908.30
1998	0.6344	366.70	9181.40
1999	0.4438	368.38	11497.10
2000	0.4262	369.55	10788.00
2001	0.5473	371.14	10021.60
2002	0.6023	373.28	8341.60
2003	0.6134	375.80	10453.90
2004	0.5783	377.52	10783.00
2005	0.6585	379.80	10717.50
2006	0.6125	381.90	12463.20
2007	0.6100	383.79	13264.80
2008	0.5419	385.60	8776.40
2009	0.6367	387.43	10428.10
2010	0.7014	389.90	11577.50
2011	0.5788	391.65	12217.60
2012	0.6240	393.85	13104.10
2013	0.6679	396.52	16576.66
2014	0.7408	398.65	17823.07
2015	0.8998	400.83	17425.03
2016	0.9363	404.21	19762.6
