State,pcWine,pop,totWine
Alabama,6,4.829479,28.976874
Alaska,10.9,0.736879,8.0319811
Arizona,9.7,6.624617,64.2587849
Arkansas,4.2,2.958663,12.4263846
California,14,38.335203,536.692842
Colorado,8.7,5.267603,45.8281461
Connecticut,14.4,3.596003,51.7824432
Delaware,13.5,0.925395,12.4928325
District of Columbia,25.7,0.649165,16.6835405
Florida,12.4,19.582022,242.8170728
Georgia,5.9,9.984938,58.9111342
Hawaii,13.1,1.406481,18.4249011
Idaho,8,1.612011,12.896088
Illinois,10.2,12.879505,131.370951
Indiana,6.1,6.569102,40.0715222
Iowa,4.7,3.09193,14.532071
Kansas,3.2,2.892821,9.2570272
Kentucky,3.9,4.400477,17.1618603
Louisiana,5.7,4.626402,26.3704914
Maine,10.4,1.329076,13.8223904
Maryland,8.9,5.931129,52.7870481
Massachusetts,16.9,6.706786,113.3446834
Michigan,7.6,9.898982,75.2322632
Minnesota,8.4,5.418521,45.5155764
Mississippi,2.8,2.990482,8.3733496
Missouri,7.2,6.042711,43.5075192
Montana,8.5,1.014314,8.621669
Nebraska,5,1.868559,9.342795
Nevada,14.7,2.786464,40.9610208
New Hampshire,19.6,1.322687,25.9246652
New Jersey,14.9,8.899162,132.5975138
New Mexico,6.9,2.085193,14.3878317
New York,11.9,19.673546,234.1151974
North Carolina,6.6,9.84159,64.954494
North Dakota,5.1,0.724019,3.6924969
Ohio,7.2,11.570022,83.3041584
Oklahoma,4.5,3.852415,17.3358675
Oregon,12.2,3.925751,47.8941622
Pennsylvania,5.6,12.781338,71.5754928
Rhose Island,14,1.053033,14.742462
South Carolina,6.1,4.767894,29.0841534
South Dakota,5,0.844922,4.22461
Tennessee,5.4,6.494821,35.0720334
Texas,5,26.473525,132.367625
Utah,3.2,2.902663,9.2885216
Vermont,17.5,0.62714,10.97495
Virginia,10.7,8.262692,88.4108044
Washington,13.1,6.968006,91.2808786
West Virginia,2.4,1.853231,4.4477544
Wisconsin,9.1,5.742854,52.2599714
Wyoming,5.2,0.582684,3.0299568
