Rank,Country,Happiness_score,GDP_per_capita,Family,Health,Freedom,Trust_in_government,Generosity,Year
1,Switzerland,7.587000000000001,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2015
2,Iceland,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2015
3,Denmark,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2015
4,Norway,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2015
5,Canada,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2015
6,Finland,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2015
7,Netherlands,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2015
8,Sweden,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2015
9,New Zealand,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2015
10,Australia,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2015
11,Israel,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,2015
12,Costa Rica,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,2015
13,Austria,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2015
14,Mexico,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,2015
15,United States,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2015
16,Brazil,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,2015
17,Luxembourg,6.946000000000001,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,2015
18,Ireland,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,2015
19,Belgium,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2015
20,United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2015
21,United Kingdom,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,2015
22,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2015
23,Venezuela,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,2015
24,Singapore,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,2015
