0,1,2,3,4,5,6,7,8
Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Paul Ruggeri III Hilton HHonors,15.350 30.300,13.400 27.050,13.650 27.550,15.350 30.700,14.750 29.100,15.050 30.550,87.550 175.250
2,Steven Legendre Hilton HHonors,15.450 31.100,13.600 26.650,14.850 29.700,15.300 30.500,13.650 28.400,14.250 28.350,87.100 174.700
3,Donnell Whittenburg Hilton HHonors,14.950 29.950,13.250 26.950,14.850 29.550,15.000 29.700,15.400 30.250,13.850 28.100,87.300 174.500
4,Marvin Kimble Swiss Turners,13.100 26.450,15.000 30.200,15.100 30.300,14.500 29.100,14.900 29.650,14.900 28.100,87.500 173.800
5,Donothan Bailey UC Berkeley,15.000 29.700,14.800 30.050,13.550 27.500,14.450 29.100,13.500 28.500,13.250 27.200,84.550 172.050
6,Kevin Wolting UC Berkeley,15.200 30.150,14.400 29.300,13.400 26.400,15.250 30.000,13.600 28.000,14.500 28.050,86.350 171.900
7,Allan Bower Oklahoma,14.750 28.950,14.700 29.600,14.300 27.900,14.350 29.350,14.300 28.550,13.950 27.350,86.350 171.700
8,Alec Yoder InterActive,13.700 27.200,15.100 30.050,13.850 28.300,14.500 29.100,14.050 27.900,14.350 28.700,85.550 171.250
9,Akash Modi Stanford,14.850 29.950,14.600 26.150,13.100 27.050,14.950 29.850,15.000 29.300,14.400 28.850,86.900 171.150
10,Danell Leyva Hilton HHonors,14.350 28.350,14.400 29.050,13.100 25.200,14.400 29.200,15.050 30.550,15.500 28.450,86.800 170.800
11,Bobby Baker Illinois,14.600 27.350,14.700 28.950,14.400 28.700,14.800 29.700,13.800 26.400,14.400 28.600,86.700 169.700
12,Hunter Justus Oklahoma,14.000 27.350,13.950 28.100,14.500 29.000,14.900 29.800,13.800 28.050,13.400 26.850,84.550 169.150
13,Robert Neff Stanford,14.850 29.350,13.750 27.350,13.100 26.200,14.600 29.050,14.000 27.600,14.550 29.150,84.850 168.600
14,Grant Breckenridge Buffalo Grove,14.150 28.000,13.800 27.300,13.050 26.650,14.450 29.100,14.650 28.350,14.200 28.650,84.300 168.050
15,Colin Van Wicklen Oklahoma,14.700 28.450,13.500 26.800,13.500 27.300,14.000 27.800,13.600 27.900,14.600 29.100,83.900 167.350
